,trend(t-5),trend(t-4),trend(t-3),trend(t-2),trend(t-1),trend(t)
1997-05-22,0.00013415113620225422,0.0001102888483062274,0.0001042717814293963,4.824649964612813e-05,2.5422056017169407e-05,1.2971988451450215e-05
1997-05-23,0.0001102888483062274,0.0001042717814293963,4.824649964612813e-05,2.5422056017169407e-05,1.2971988451450215e-05,2.5975975466032515e-06
1997-05-27,0.0001042717814293963,4.824649964612813e-05,2.5422056017169407e-05,1.2971988451450215e-05,2.5975975466032515e-06,1.037838330435084e-05
1997-05-28,4.824649964612813e-05,2.5422056017169407e-05,1.2971988451450215e-05,2.5975975466032515e-06,1.037838330435084e-05,2.0752774209249628e-05
1997-05-29,2.5422056017169407e-05,1.2971988451450215e-05,2.5975975466032515e-06,1.037838330435084e-05,2.0752774209249628e-05,2.1790605118836596e-05
1997-05-30,1.2971988451450215e-05,2.5975975466032515e-06,1.037838330435084e-05,2.0752774209249628e-05,2.1790605118836596e-05,1.1414225435041466e-05
1997-06-02,2.5975975466032515e-06,1.037838330435084e-05,2.0752774209249628e-05,2.1790605118836596e-05,1.1414225435041466e-05,0.0
1997-06-03,1.037838330435084e-05,2.0752774209249628e-05,2.1790605118836596e-05,1.1414225435041466e-05,0.0,3.631436056745216e-06
1997-06-04,2.0752774209249628e-05,2.1790605118836596e-05,1.1414225435041466e-05,0.0,3.631436056745216e-06,1.919501119298226e-05
1997-06-05,2.1790605118836596e-05,1.1414225435041466e-05,0.0,3.631436056745216e-06,1.919501119298226e-05,3.6832274211047846e-05
1997-06-06,1.1414225435041466e-05,0.0,3.631436056745216e-06,1.919501119298226e-05,3.6832274211047846e-05,4.7208653894906727e-05
1997-06-09,0.0,3.631436056745216e-06,1.919501119298226e-05,3.6832274211047846e-05,4.7208653894906727e-05,5.9658721460639904e-05
1997-06-10,3.631436056745216e-06,1.919501119298226e-05,3.6832274211047846e-05,4.7208653894906727e-05,5.9658721460639904e-05,6.588376266428414e-05
1997-06-11,1.919501119298226e-05,3.6832274211047846e-05,4.7208653894906727e-05,5.9658721460639904e-05,6.588376266428414e-05,5.862089055102681e-05
