,trend(t-5),trend(t-4),trend(t-3),trend(t-2),trend(t-1),trend(t)
2004-08-26,2.678102121353147,2.668881621360776,2.634724617004389,2.672433185577398,2.661673402786244,2.6248613834381103
2004-08-27,2.668881621360776,2.634724617004389,2.672433185577398,2.661673402786244,2.6248613834381103,2.6124080181121734
2004-08-30,2.634724617004389,2.672433185577398,2.661673402786244,2.6248613834381103,2.6124080181121734,2.5837654113769517
2004-08-31,2.672433185577398,2.661673402786244,2.6248613834381103,2.6124080181121734,2.5837654113769517,2.551884841918936
2004-09-01,2.661673402786244,2.6248613834381103,2.6124080181121734,2.5837654113769517,2.551884841918936,2.521299409866331
2004-09-02,2.6248613834381103,2.6124080181121734,2.5837654113769517,2.551884841918936,2.521299409866331,2.5191574096679616
2004-09-03,2.6124080181121734,2.5837654113769517,2.551884841918936,2.521299409866331,2.5191574096679616,2.51880879402161
2004-09-07,2.5837654113769517,2.551884841918936,2.521299409866331,2.5191574096679616,2.51880879402161,2.529070377349843
2004-09-08,2.551884841918936,2.521299409866331,2.5191574096679616,2.51880879402161,2.529070377349843,2.54809913635253
2004-09-09,2.521299409866331,2.5191574096679616,2.51880879402161,2.529070377349843,2.54809913635253,2.585409355163567
2004-09-10,2.5191574096679616,2.51880879402161,2.529070377349843,2.54809913635253,2.585409355163567,2.634774398803713
2004-09-13,2.51880879402161,2.529070377349843,2.54809913635253,2.585409355163567,2.634774398803713,2.68309321403502
2004-09-14,2.529070377349843,2.54809913635253,2.585409355163567,2.634774398803713,2.68309321403502,2.7411754131317085
2004-09-15,2.54809913635253,2.585409355163567,2.634774398803713,2.68309321403502,2.7411754131317085,2.80174841880798
2004-09-16,2.585409355163567,2.634774398803713,2.68309321403502,2.7411754131317085,2.80174841880798,2.86082701683045
2004-09-17,2.634774398803713,2.68309321403502,2.7411754131317085,2.80174841880798,2.86082701683045,2.892458391189572
2004-09-20,2.68309321403502,2.7411754131317085,2.80174841880798,2.86082701683045,2.892458391189572,2.9242391586303604
2004-09-21,2.7411754131317085,2.80174841880798,2.86082701683045,2.892458391189572,2.9242391586303604,2.9583613872528005
2004-09-22,2.80174841880798,2.86082701683045,2.892458391189572,2.9242391586303604,2.9583613872528005,2.9700176239013656
2004-09-23,2.86082701683045,2.892458391189572,2.9242391586303604,2.9583613872528005,2.9700176239013656,2.964538240432732
2004-09-24,2.892458391189572,2.9242391586303604,2.9583613872528005,2.9700176239013656,2.964538240432732,3.009469842910763
2004-09-27,2.9242391586303604,2.9583613872528005,2.9700176239013656,2.964538240432732,3.009469842910763,3.07273287773132
2004-09-28,2.9583613872528005,2.9700176239013656,2.964538240432732,3.009469842910763,3.07273287773132,3.1164688587188665
2004-09-29,2.9700176239013656,2.964538240432732,3.009469842910763,3.07273287773132,3.1164688587188665,3.1799808502197195
2004-09-30,2.964538240432732,3.009469842910763,3.07273287773132,3.1164688587188665,3.1799808502197195,3.2636670112609862
2004-10-01,3.009469842910763,3.07273287773132,3.1164688587188665,3.1799808502197195,3.2636670112609862,3.3210020065307653
2004-10-04,3.07273287773132,3.1164688587188665,3.1799808502197195,3.2636670112609862,3.3210020065307653,3.350889968872074
2004-10-05,3.1164688587188665,3.1799808502197195,3.2636670112609862,3.3210020065307653,3.350889968872074,3.39696717262267
2004-10-06,3.1799808502197195,3.2636670112609862,3.3210020065307653,3.350889968872074,3.39696717262267,3.422620964050295
2004-10-07,3.2636670112609862,3.3210020065307653,3.350889968872074,3.39696717262267,3.422620964050295,3.423617362976067
2004-10-08,3.3210020065307653,3.350889968872074,3.39696717262267,3.422620964050295,3.423617362976067,3.418785572052009
2004-10-11,3.350889968872074,3.39696717262267,3.422620964050295,3.423617362976067,3.418785572052009,3.4378141880035327
2004-10-12,3.39696717262267,3.422620964050295,3.423617362976067,3.418785572052009,3.4378141880035327,3.453505373001095
2004-10-13,3.422620964050295,3.423617362976067,3.418785572052009,3.4378141880035327,3.453505373001095,3.485286188125603
2004-10-14,3.423617362976067,3.418785572052009,3.4378141880035327,3.453505373001095,3.485286188125603,3.5545266151428225
2004-10-15,3.418785572052009,3.4378141880035327,3.453505373001095,3.485286188125603,3.5545266151428225,3.607029819488529
2004-10-18,3.4378141880035327,3.453505373001095,3.485286188125603,3.5545266151428225,3.607029819488529,3.604987430572512
2004-10-19,3.453505373001095,3.485286188125603,3.5545266151428225,3.607029819488529,3.604987430572512,3.641749668121329
2004-10-20,3.485286188125603,3.5545266151428225,3.607029819488529,3.604987430572512,3.641749668121329,3.782821035385132
2004-10-21,3.5545266151428225,3.607029819488529,3.604987430572512,3.641749668121329,3.782821035385132,3.973306989669791
2004-10-22,3.607029819488529,3.604987430572512,3.641749668121329,3.782821035385132,3.973306989669791,4.141974782943722
2004-10-25,3.604987430572512,3.641749668121329,3.782821035385132,3.973306989669791,4.141974782943722,4.368525743484492
2004-10-26,3.641749668121329,3.782821035385132,3.973306989669791,4.141974782943722,4.368525743484492,4.587305736541755
2004-10-27,3.782821035385132,3.973306989669791,4.141974782943722,4.368525743484492,4.587305736541755,4.678015708923326
2004-10-28,3.973306989669791,4.141974782943722,4.368525743484492,4.587305736541755,4.678015708923326,4.721004581451412
2004-10-29,4.141974782943722,4.368525743484492,4.587305736541755,4.678015708923326,4.721004581451412,4.786110591888424
2004-11-01,4.368525743484492,4.587305736541755,4.678015708923326,4.721004581451412,4.786110591888424,4.814504051208496
2004-11-02,4.587305736541755,4.678015708923326,4.721004581451412,4.786110591888424,4.814504051208496,4.77166461944579
2004-11-03,4.678015708923326,4.721004581451412,4.786110591888424,4.814504051208496,4.77166461944579,4.66561203002929
2004-11-04,4.721004581451412,4.786110591888424,4.814504051208496,4.77166461944579,4.66561203002929,4.548650360107411
2004-11-05,4.786110591888424,4.814504051208496,4.77166461944579,4.66561203002929,4.548650360107411,4.418288993835453
2004-11-08,4.814504051208496,4.77166461944579,4.66561203002929,4.548650360107411,4.418288993835453,4.299683570861811
2004-11-09,4.77166461944579,4.66561203002929,4.548650360107411,4.418288993835453,4.299683570861811,4.291314983367913
2004-11-10,4.66561203002929,4.548650360107411,4.418288993835453,4.299683570861811,4.291314983367913,4.354328823089589
2004-11-11,4.548650360107411,4.418288993835453,4.299683570861811,4.291314983367913,4.354328823089589,4.415698909759518
2004-11-12,4.418288993835453,4.299683570861811,4.291314983367913,4.354328823089589,4.415698909759518,4.434827041625966
2004-11-15,4.299683570861811,4.291314983367913,4.354328823089589,4.415698909759518,4.434827041625966,4.457940387725819
2004-11-16,4.291314983367913,4.354328823089589,4.415698909759518,4.434827041625966,4.457940387725819,4.380829429626454
2004-11-17,4.354328823089589,4.415698909759518,4.434827041625966,4.457940387725819,4.380829429626454,4.318064594268801
2004-11-18,4.415698909759518,4.434827041625966,4.457940387725819,4.380829429626454,4.318064594268801,4.219583702087388
2004-11-19,4.434827041625966,4.457940387725819,4.380829429626454,4.318064594268801,4.219583702087388,4.1945775032043455
2004-11-22,4.457940387725819,4.380829429626454,4.318064594268801,4.219583702087388,4.1945775032043455,4.205835342407223
2004-11-23,4.380829429626454,4.318064594268801,4.219583702087388,4.1945775032043455,4.205835342407223,4.264864063262939
2004-11-24,4.318064594268801,4.219583702087388,4.1945775032043455,4.205835342407223,4.264864063262939,4.322896671295159
2004-11-26,4.219583702087388,4.1945775032043455,4.205835342407223,4.264864063262939,4.322896671295159,4.406981563568116
2004-11-29,4.1945775032043455,4.205835342407223,4.264864063262939,4.322896671295159,4.406981563568116,4.468949413299557
2004-11-30,4.205835342407223,4.264864063262939,4.322896671295159,4.406981563568116,4.468949413299557,4.492062854766851
2004-12-01,4.264864063262939,4.322896671295159,4.406981563568116,4.468949413299557,4.492062854766851,4.497094058990481
2004-12-02,4.322896671295159,4.406981563568116,4.468949413299557,4.492062854766851,4.497094058990481,4.47338285446167
2004-12-03,4.406981563568116,4.468949413299557,4.492062854766851,4.497094058990481,4.47338285446167,4.420829772949219
2004-12-06,4.468949413299557,4.492062854766851,4.497094058990481,4.47338285446167,4.420829772949219,4.371115970611576
2004-12-07,4.492062854766851,4.497094058990481,4.47338285446167,4.420829772949219,4.371115970611576,4.341377353668207
2004-12-08,4.497094058990481,4.47338285446167,4.420829772949219,4.371115970611576,4.341377353668207,4.297790622711182
2004-12-09,4.47338285446167,4.420829772949219,4.371115970611576,4.341377353668207,4.297790622711182,4.268699645996092
2004-12-10,4.420829772949219,4.371115970611576,4.341377353668207,4.297790622711182,4.268699645996092,4.304864120483406
2004-12-13,4.371115970611576,4.341377353668207,4.297790622711182,4.268699645996092,4.304864120483406,4.353681087493895
2004-12-14,4.341377353668207,4.297790622711182,4.268699645996092,4.304864120483406,4.353681087493895,4.36882429122925
2004-12-15,4.297790622711182,4.268699645996092,4.304864120483406,4.353681087493895,4.36882429122925,4.410816860198973
2004-12-16,4.268699645996092,4.304864120483406,4.353681087493895,4.36882429122925,4.410816860198973,4.483394813537598
2004-12-17,4.304864120483406,4.353681087493895,4.36882429122925,4.410816860198973,4.483394813537598,4.508600330352779
2004-12-20,4.353681087493895,4.36882429122925,4.410816860198973,4.483394813537598,4.508600330352779,4.541078758239746
2004-12-21,4.36882429122925,4.410816860198973,4.483394813537598,4.508600330352779,4.541078758239746,4.598015308380127
2004-12-22,4.410816860198973,4.483394813537598,4.508600330352779,4.541078758239746,4.598015308380127,4.6569444656372125
2004-12-23,4.483394813537598,4.508600330352779,4.541078758239746,4.598015308380127,4.6569444656372125,4.695500087738037
2004-12-27,4.508600330352779,4.541078758239746,4.598015308380127,4.6569444656372125,4.695500087738037,4.741079330444336
2004-12-28,4.541078758239746,4.598015308380127,4.6569444656372125,4.695500087738037,4.741079330444336,4.797368335723866
2004-12-29,4.598015308380127,4.6569444656372125,4.695500087738037,4.741079330444336,4.797368335723866,4.821727180480954
2004-12-30,4.6569444656372125,4.695500087738037,4.741079330444336,4.797368335723866,4.821727180480954,4.875525665283196
2004-12-31,4.695500087738037,4.741079330444336,4.797368335723866,4.821727180480954,4.875525665283196,4.884193134307854
2005-01-03,4.741079330444336,4.797368335723866,4.821727180480954,4.875525665283196,4.884193134307854,4.887231731414792
2005-01-04,4.797368335723866,4.821727180480954,4.875525665283196,4.884193134307854,4.887231731414792,4.842150688171387
2005-01-05,4.821727180480954,4.875525665283196,4.884193134307854,4.887231731414792,4.842150688171387,4.8474308967590245
2005-01-06,4.875525665283196,4.884193134307854,4.887231731414792,4.842150688171387,4.8474308967590245,4.809323692321778
2005-01-07,4.884193134307854,4.887231731414792,4.842150688171387,4.8474308967590245,4.809323692321778,4.804541683197018
2005-01-10,4.887231731414792,4.842150688171387,4.8474308967590245,4.809323692321778,4.804541683197018,4.813856697082525
