,trend(t-5),trend(t-4),trend(t-3),trend(t-2),trend(t-1),trend(t)
2012-05-25,34.981283798217774,34.153362350463865,33.62232589721683,32.35966567993163,31.322766113281236,30.76136169433596
2012-05-29,34.153362350463865,33.62232589721683,32.35966567993163,31.322766113281236,30.76136169433596,30.281870651245093
2012-05-30,33.62232589721683,32.35966567993163,31.322766113281236,30.76136169433596,30.281870651245093,29.22099609374999
2012-05-31,32.35966567993163,31.322766113281236,30.76136169433596,30.281870651245093,29.22099609374999,28.22005805969242
2012-06-01,31.322766113281236,30.76136169433596,30.281870651245093,29.22099609374999,28.22005805969242,27.62668762207033
2012-06-04,30.76136169433596,30.281870651245093,29.22099609374999,28.22005805969242,27.62668762207033,27.35097999572756
2012-06-05,30.281870651245093,29.22099609374999,28.22005805969242,27.62668762207033,27.35097999572756,26.69367713928222
2012-06-06,29.22099609374999,28.22005805969242,27.62668762207033,27.35097999572756,26.69367713928222,26.569808959960923
2012-06-07,28.22005805969242,27.62668762207033,27.35097999572756,26.69367713928222,26.569808959960923,26.59178581237789
2012-06-08,27.62668762207033,27.35097999572756,26.69367713928222,26.569808959960923,26.59178581237789,26.89746131896975
2012-06-11,27.35097999572756,26.69367713928222,26.569808959960923,26.59178581237789,26.89746131896975,26.989363861084
2012-06-12,26.69367713928222,26.569808959960923,26.59178581237789,26.89746131896975,26.989363861084,27.38494453430177
2012-06-13,26.569808959960923,26.59178581237789,26.89746131896975,26.989363861084,27.38494453430177,27.966327667236357
2012-06-14,26.59178581237789,26.89746131896975,26.989363861084,27.38494453430177,27.966327667236357,28.84539489746096
2012-06-15,26.89746131896975,26.989363861084,27.38494453430177,27.966327667236357,28.84539489746096,29.74643898010256
2012-06-18,26.989363861084,27.38494453430177,27.966327667236357,28.84539489746096,29.74643898010256,30.61152114868168
2012-06-19,27.38494453430177,27.966327667236357,28.84539489746096,29.74643898010256,30.61152114868168,31.320768356323267
2012-06-20,27.966327667236357,28.84539489746096,29.74643898010256,30.61152114868168,31.320768356323267,31.92812347412108
2012-06-21,28.84539489746096,29.74643898010256,30.61152114868168,31.320768356323267,31.92812347412108,32.05798568725589
2012-06-22,29.74643898010256,30.61152114868168,31.320768356323267,31.92812347412108,32.05798568725589,32.29573287963867
2012-06-25,30.61152114868168,31.320768356323267,31.92812347412108,32.05798568725589,32.29573287963867,32.42159919738774
2012-06-26,31.320768356323267,31.92812347412108,32.05798568725589,32.29573287963867,32.42159919738774,32.325701141357484
2012-06-27,31.92812347412108,32.05798568725589,32.29573287963867,32.42159919738774,32.325701141357484,31.936114883422874
2012-06-28,32.05798568725589,32.29573287963867,32.42159919738774,32.325701141357484,31.936114883422874,31.67838821411134
2012-06-29,32.29573287963867,32.42159919738774,32.325701141357484,31.936114883422874,31.67838821411134,31.298791885375977
2012-07-02,32.42159919738774,32.325701141357484,31.936114883422874,31.67838821411134,31.298791885375977,31.14695320129396
2012-07-03,32.325701141357484,31.936114883422874,31.67838821411134,31.298791885375977,31.14695320129396,31.220874404907203
2012-07-05,31.936114883422874,31.67838821411134,31.298791885375977,31.14695320129396,31.220874404907203,31.43464736938483
2012-07-06,31.67838821411134,31.298791885375977,31.14695320129396,31.220874404907203,31.43464736938483,31.574499130249038
2012-07-09,31.298791885375977,31.14695320129396,31.220874404907203,31.43464736938483,31.574499130249038,31.528547286987298
2012-07-10,31.14695320129396,31.220874404907203,31.43464736938483,31.574499130249038,31.528547286987298,31.396686935424803
2012-07-11,31.220874404907203,31.43464736938483,31.574499130249038,31.528547286987298,31.396686935424803,31.194900894165045
2012-07-12,31.43464736938483,31.574499130249038,31.528547286987298,31.396686935424803,31.194900894165045,30.41173210144043
2012-07-13,31.574499130249038,31.528547286987298,31.396686935424803,31.194900894165045,30.41173210144043,29.73644866943358
2012-07-16,31.528547286987298,31.396686935424803,31.194900894165045,30.41173210144043,29.73644866943358,29.364843368530277
2012-07-17,31.396686935424803,31.194900894165045,30.41173210144043,29.73644866943358,29.364843368530277,29.003227233886705
2012-07-18,31.194900894165045,30.41173210144043,29.73644866943358,29.364843368530277,29.003227233886705,28.611642837524457
2012-07-19,30.41173210144043,29.73644866943358,29.364843368530277,29.003227233886705,28.611642837524457,28.711536788940386
2012-07-20,29.73644866943358,29.364843368530277,29.003227233886705,28.611642837524457,28.711536788940386,28.783460617065412
2012-07-23,29.364843368530277,29.003227233886705,28.611642837524457,28.711536788940386,28.783460617065412,28.82941169738769
2012-07-24,29.003227233886705,28.611642837524457,28.711536788940386,28.783460617065412,28.82941169738769,28.39986763000487
2012-07-25,28.611642837524457,28.711536788940386,28.783460617065412,28.82941169738769,28.39986763000487,27.390938186645503
2012-07-26,28.711536788940386,28.783460617065412,28.82941169738769,28.39986763000487,27.390938186645503,26.272125244140597
2012-07-27,28.783460617065412,28.82941169738769,28.39986763000487,27.390938186645503,26.272125244140597,24.92555351257323
2012-07-30,28.82941169738769,28.39986763000487,27.390938186645503,26.272125244140597,24.92555351257323,23.235346603393538
2012-07-31,28.39986763000487,27.390938186645503,26.272125244140597,24.92555351257323,23.235346603393538,21.874790191650423
2012-08-01,27.390938186645503,26.272125244140597,24.92555351257323,23.235346603393538,21.874790191650423,21.35134582519533
2012-08-02,26.272125244140597,24.92555351257323,23.235346603393538,21.874790191650423,21.35134582519533,21.105606460571288
2012-08-03,24.92555351257323,23.235346603393538,21.874790191650423,21.35134582519533,21.105606460571288,20.907816314697325
2012-08-06,23.235346603393538,21.874790191650423,21.35134582519533,21.105606460571288,20.907816314697325,20.875850296020545
2012-08-07,21.874790191650423,21.35134582519533,21.105606460571288,20.907816314697325,20.875850296020545,21.06964454650881
2012-08-08,21.35134582519533,21.105606460571288,20.907816314697325,20.875850296020545,21.06964454650881,21.21349143981936
2012-08-09,21.105606460571288,20.907816314697325,20.875850296020545,21.06964454650881,21.21349143981936,21.149559402465837
2012-08-10,20.907816314697325,20.875850296020545,21.06964454650881,21.21349143981936,21.149559402465837,21.08163146972654
2012-08-13,20.875850296020545,21.06964454650881,21.21349143981936,21.149559402465837,21.08163146972654,21.1775299072266
2012-08-14,21.06964454650881,21.21349143981936,21.149559402465837,21.08163146972654,21.1775299072266,20.949771499633787
2012-08-15,21.21349143981936,21.149559402465837,21.08163146972654,21.1775299072266,20.949771499633787,20.398356628417996
2012-08-16,21.149559402465837,21.08163146972654,21.1775299072266,20.949771499633787,20.398356628417996,20.08069381713869
2012-08-17,21.08163146972654,21.1775299072266,20.949771499633787,20.398356628417996,20.08069381713869,19.83695259094244
2012-08-20,21.1775299072266,20.949771499633787,20.398356628417996,20.08069381713869,19.83695259094244,19.48532562255863
2012-08-21,20.949771499633787,20.398356628417996,20.08069381713869,19.83695259094244,19.48532562255863,19.399416732788087
2012-08-22,20.398356628417996,20.08069381713869,19.83695259094244,19.48532562255863,19.399416732788087,19.471340560913085
2012-08-23,20.08069381713869,19.83695259094244,19.48532562255863,19.399416732788087,19.471340560913085,19.299522781372065
2012-08-24,19.83695259094244,19.48532562255863,19.399416732788087,19.471340560913085,19.299522781372065,19.33548469543461
2012-08-27,19.48532562255863,19.399416732788087,19.471340560913085,19.299522781372065,19.33548469543461,19.267556762695342
2012-08-28,19.399416732788087,19.471340560913085,19.299522781372065,19.33548469543461,19.267556762695342,19.19763107299804
2012-08-29,19.471340560913085,19.299522781372065,19.33548469543461,19.267556762695342,19.19763107299804,18.92791709899907
2012-08-30,19.299522781372065,19.33548469543461,19.267556762695342,19.19763107299804,18.92791709899907,18.64421806335453
2012-08-31,19.33548469543461,19.267556762695342,19.19763107299804,18.92791709899907,18.64421806335453,18.49237899780276
2012-09-04,19.267556762695342,19.19763107299804,18.92791709899907,18.64421806335453,18.49237899780276,18.46440849304205
2012-09-05,19.19763107299804,18.92791709899907,18.64421806335453,18.49237899780276,18.46440849304205,18.44243164062503
2012-09-06,18.92791709899907,18.64421806335453,18.49237899780276,18.46440849304205,18.44243164062503,18.592272949218707
2012-09-07,18.64421806335453,18.49237899780276,18.46440849304205,18.44243164062503,18.592272949218707,18.93191261291503
2012-09-10,18.49237899780276,18.46440849304205,18.44243164062503,18.592272949218707,18.93191261291503,19.401414489746017
2012-09-11,18.46440849304205,18.44243164062503,18.592272949218707,18.93191261291503,19.401414489746017,19.751043701171888
2012-09-12,18.44243164062503,18.592272949218707,18.93191261291503,19.401414489746017,19.751043701171888,20.354403686523472
2012-09-13,18.592272949218707,18.93191261291503,19.401414489746017,19.751043701171888,20.354403686523472,20.895829391479523
2012-09-14,18.93191261291503,19.401414489746017,19.751043701171888,20.354403686523472,20.895829391479523,21.38331222534181
2012-09-17,19.401414489746017,19.751043701171888,20.354403686523472,20.895829391479523,21.38331222534181,21.85481224060064
2012-09-18,19.751043701171888,20.354403686523472,20.895829391479523,21.38331222534181,21.85481224060064,22.230413818359388
2012-09-19,20.354403686523472,20.895829391479523,21.38331222534181,21.85481224060064,22.230413818359388,22.40223159790039
2012-09-20,20.895829391479523,21.38331222534181,21.85481224060064,22.230413818359388,22.40223159790039,22.25638618469244
2012-09-21,21.38331222534181,21.85481224060064,22.230413818359388,22.40223159790039,22.25638618469244,21.938723373413097
2012-09-24,21.85481224060064,22.230413818359388,22.40223159790039,22.25638618469244,21.938723373413097,21.405289459228552
2012-09-25,22.230413818359388,22.40223159790039,22.25638618469244,21.938723373413097,21.405289459228552,20.951770401001024
2012-09-26,22.40223159790039,22.25638618469244,21.938723373413097,21.405289459228552,20.951770401001024,20.71202468872074
2012-09-27,22.25638618469244,21.938723373413097,21.405289459228552,20.951770401001024,20.71202468872074,20.95177001953128
2012-09-28,21.938723373413097,21.405289459228552,20.951770401001024,20.71202468872074,20.95177001953128,21.34934806823732
2012-10-01,21.405289459228552,20.951770401001024,20.71202468872074,20.95177001953128,21.34934806823732,21.59109115600586
2012-10-02,20.951770401001024,20.71202468872074,20.95177001953128,21.34934806823732,21.59109115600586,21.916746139526385
2012-10-03,20.71202468872074,20.95177001953128,21.34934806823732,21.59109115600586,21.916746139526385,21.766905212402392
2012-10-04,20.95177001953128,21.34934806823732,21.59109115600586,21.916746139526385,21.766905212402392,21.44924240112305
2012-10-05,21.34934806823732,21.59109115600586,21.916746139526385,21.766905212402392,21.44924240112305,21.041674423217792
2012-10-08,21.59109115600586,21.916746139526385,21.766905212402392,21.44924240112305,21.041674423217792,20.6041385650635
2012-10-09,21.916746139526385,21.766905212402392,21.44924240112305,21.041674423217792,20.6041385650635,20.16460456848148
2012-10-10,21.766905212402392,21.44924240112305,21.041674423217792,20.6041385650635,20.16460456848148,19.886899185180688
2012-10-11,21.44924240112305,21.041674423217792,20.6041385650635,20.16460456848148,19.886899185180688,19.711085891723645
2012-10-12,21.041674423217792,20.6041385650635,20.16460456848148,19.886899185180688,19.711085891723645,19.561244964599634
2012-10-15,20.6041385650635,20.16460456848148,19.886899185180688,19.711085891723645,19.561244964599634,19.609194183349608
2012-10-16,20.16460456848148,19.886899185180688,19.711085891723645,19.561244964599634,19.609194183349608,19.45535736083989
2012-10-17,19.886899185180688,19.711085891723645,19.561244964599634,19.609194183349608,19.45535736083989,19.3514675140381
2012-10-18,19.711085891723645,19.561244964599634,19.609194183349608,19.45535736083989,19.3514675140381,19.31150970458984
2012-10-19,19.561244964599634,19.609194183349608,19.45535736083989,19.3514675140381,19.31150970458984,19.315505599975623
2012-10-22,19.609194183349608,19.45535736083989,19.3514675140381,19.31150970458984,19.315505599975623,19.98479537963869
2012-10-23,19.45535736083989,19.3514675140381,19.31150970458984,19.315505599975623,19.98479537963869,20.700036621093773
2012-10-24,19.3514675140381,19.31150970458984,19.315505599975623,19.98479537963869,20.700036621093773,21.28741340637209
2012-10-25,19.31150970458984,19.315505599975623,19.98479537963869,20.700036621093773,21.28741340637209,21.64503402709962
2012-10-26,19.315505599975623,19.98479537963869,20.700036621093773,21.28741340637209,21.64503402709962,21.98667144775388
2012-10-31,19.98479537963869,20.700036621093773,21.28741340637209,21.64503402709962,21.98667144775388,21.577106475830103
2012-11-01,20.700036621093773,21.28741340637209,21.64503402709962,21.98667144775388,21.577106475830103,21.31538429260249
2012-11-02,21.28741340637209,21.64503402709962,21.98667144775388,21.577106475830103,21.31538429260249,21.161547470092813
2012-11-05,21.64503402709962,21.98667144775388,21.577106475830103,21.31538429260249,21.161547470092813,21.033683013916004
2012-11-06,21.98667144775388,21.577106475830103,21.31538429260249,21.161547470092813,21.033683013916004,20.789941787719737
2012-11-07,21.577106475830103,21.31538429260249,21.161547470092813,21.033683013916004,20.789941787719737,20.396358871459935
2012-11-08,21.31538429260249,21.161547470092813,21.033683013916004,20.789941787719737,20.396358871459935,20.16060867309568
2012-11-09,21.161547470092813,21.033683013916004,20.789941787719737,20.396358871459935,20.16060867309568,19.89888648986813
2012-11-12,21.033683013916004,20.789941787719737,20.396358871459935,20.16060867309568,19.89888648986813,20.27648620605464
2012-11-13,20.789941787719737,20.396358871459935,20.16060867309568,19.89888648986813,20.27648620605464,20.71202392578124
2012-11-14,20.396358871459935,20.16060867309568,19.89888648986813,20.27648620605464,20.71202392578124,21.581101989746056
2012-11-15,20.16060867309568,19.89888648986813,20.27648620605464,20.71202392578124,21.581101989746056,22.150498199462856
2012-11-16,19.89888648986813,20.27648620605464,20.71202392578124,21.581101989746056,22.150498199462856,22.79781150817871
2012-11-19,20.27648620605464,20.71202392578124,21.581101989746056,22.150498199462856,22.79781150817871,23.18939590454098
2012-11-20,20.71202392578124,21.581101989746056,22.150498199462856,22.79781150817871,23.18939590454098,23.555008316040027
2012-11-21,21.581101989746056,22.150498199462856,22.79781150817871,23.18939590454098,23.555008316040027,24.03050384521488
2012-11-23,22.150498199462856,22.79781150817871,23.18939590454098,23.555008316040027,24.03050384521488,24.67581901550292
2012-11-26,22.79781150817871,23.18939590454098,23.555008316040027,24.03050384521488,24.67581901550292,25.32712783813472
2012-11-27,23.18939590454098,23.555008316040027,24.03050384521488,24.67581901550292,25.32712783813472,25.92649192810061
2012-11-28,23.555008316040027,24.03050384521488,24.67581901550292,25.32712783813472,25.92649192810061,26.725643920898374
2012-11-29,24.03050384521488,24.67581901550292,25.32712783813472,25.92649192810061,26.725643920898374,26.945410919189463
2012-11-30,24.67581901550292,25.32712783813472,25.92649192810061,26.725643920898374,26.945410919189463,27.20713310241701
2012-12-03,25.32712783813472,25.92649192810061,26.725643920898374,26.945410919189463,27.20713310241701,27.476846694946325
2012-12-04,25.92649192810061,26.725643920898374,26.945410919189463,27.20713310241701,27.476846694946325,27.40692062377924
2012-12-05,26.725643920898374,26.945410919189463,27.20713310241701,27.476846694946325,27.40692062377924,27.30502853393553
2012-12-06,26.945410919189463,27.20713310241701,27.476846694946325,27.40692062377924,27.30502853393553,27.46485900878904
2012-12-07,27.20713310241701,27.476846694946325,27.40692062377924,27.30502853393553,27.46485900878904,27.568748855590783
2012-12-10,27.476846694946325,27.40692062377924,27.30502853393553,27.46485900878904,27.568748855590783,27.54277648925786
2012-12-11,27.40692062377924,27.30502853393553,27.46485900878904,27.568748855590783,27.54277648925786,27.79650726318356
2012-12-12,27.30502853393553,27.46485900878904,27.568748855590783,27.54277648925786,27.79650726318356,27.660651397705053
2012-12-13,27.46485900878904,27.568748855590783,27.54277648925786,27.79650726318356,27.660651397705053,27.442882156372107
2012-12-14,27.568748855590783,27.54277648925786,27.79650726318356,27.660651397705053,27.442882156372107,27.388939285278298
2012-12-17,27.54277648925786,27.79650726318356,27.660651397705053,27.442882156372107,27.388939285278298,27.3549755096436
2012-12-18,27.79650726318356,27.660651397705053,27.442882156372107,27.388939285278298,27.3549755096436,27.179162216186533
2012-12-19,27.660651397705053,27.442882156372107,27.388939285278298,27.3549755096436,27.179162216186533,27.069279098510755
2012-12-20,27.442882156372107,27.388939285278298,27.3549755096436,27.179162216186533,27.069279098510755,27.10524101257323
2012-12-21,27.388939285278298,27.3549755096436,27.179162216186533,27.069279098510755,27.10524101257323,26.865495681762702
