,trend(t-5),trend(t-4),trend(t-3),trend(t-2),trend(t-1),trend(t)
1986-03-20,0.00012284258817025855,0.00010421140718657731,7.779995088768102e-05,7.370543000083472e-05,5.527968771861457e-05,2.6614983201708525e-05
1986-03-21,0.00010421140718657731,7.779995088768102e-05,7.370543000083472e-05,5.527968771861457e-05,2.6614983201708525e-05,8.189269368840844e-06
1986-03-24,7.779995088768102e-05,7.370543000083472e-05,5.527968771861457e-05,2.6614983201708525e-05,8.189269368840844e-06,0.0
1986-03-25,7.370543000083472e-05,5.527968771861457e-05,2.6614983201708525e-05,8.189269368840844e-06,0.0,2.047317342309578e-06
1986-03-26,5.527968771861457e-05,2.6614983201708525e-05,8.189269368840844e-06,0.0,2.047317342309578e-06,8.189255144174044e-06
1986-03-27,2.6614983201708525e-05,8.189269368840844e-06,0.0,2.047317342309578e-06,8.189255144174044e-06,1.8425827630405914e-05
1986-03-31,8.189269368840844e-06,0.0,2.047317342309578e-06,8.189255144174044e-06,1.8425827630405914e-05,2.6614997426340848e-05
1986-04-01,0.0,2.047317342309578e-06,8.189255144174044e-06,1.8425827630405914e-05,2.6614997426340848e-05,3.0709646335553946e-05
1986-04-02,2.047317342309578e-06,8.189255144174044e-06,1.8425827630405914e-05,2.6614997426340848e-05,3.0709646335553946e-05,3.0709646335534864e-05
1986-04-03,8.189255144174044e-06,1.8425827630405914e-05,2.6614997426340848e-05,3.0709646335553946e-05,3.0709646335534864e-05,2.8662314768558702e-05
1986-04-04,1.8425827630405914e-05,2.6614997426340848e-05,3.0709646335553946e-05,3.0709646335534864e-05,2.8662314768558702e-05,3.070964633546439e-05
1986-04-07,2.6614997426340848e-05,3.0709646335553946e-05,3.0709646335534864e-05,2.8662314768558702e-05,3.070964633546439e-05,3.4804167222310476e-05
1986-04-08,3.0709646335553946e-05,3.0709646335534864e-05,2.8662314768558702e-05,3.070964633546439e-05,3.4804167222310476e-05,3.889878768195709e-05
1986-04-09,3.0709646335534864e-05,2.8662314768558702e-05,3.070964633546439e-05,3.4804167222310476e-05,3.889878768195709e-05,4.708801437677693e-05
1986-04-10,2.8662314768558702e-05,3.070964633546439e-05,3.4804167222310476e-05,3.889878768195709e-05,4.708801437677693e-05,6.141915042398279e-05
1986-04-11,3.070964633546439e-05,3.4804167222310476e-05,3.889878768195709e-05,4.708801437677693e-05,6.141915042398279e-05,7.370295490433825e-05
1986-04-14,3.4804167222310476e-05,3.889878768195709e-05,4.708801437677693e-05,6.141915042398279e-05,7.370295490433825e-05,9.008381226685049e-05
1986-04-15,3.889878768195709e-05,4.708801437677693e-05,6.141915042398279e-05,7.370295490433825e-05,9.008381226685049e-05,0.00010646464117984957
1986-04-16,4.708801437677693e-05,6.141915042398279e-05,7.370295490433825e-05,9.008381226685049e-05,0.00010646464117984957,0.00011056159448920755
1986-04-17,6.141915042398279e-05,7.370295490433825e-05,9.008381226685049e-05,0.00010646464117984957,0.00011056159448920755,0.00011261128735514216
1986-04-18,7.370295490433825e-05,9.008381226685049e-05,0.00010646464117984957,0.00011056159448920755,0.00011261128735514216,0.0001105640269116828
1986-04-21,9.008381226685049e-05,0.00010646464117984957,0.00011056159448920755,0.00011261128735514216,0.0001105640269116828,0.00010134881580865069
1986-04-22,0.00010646464117984957,0.00011056159448920755,0.00011261128735514216,0.0001105640269116828,0.00010134881580865069,0.00011363266296297381
1986-04-23,0.00011056159448920755,0.00011261128735514216,0.0001105640269116828,0.00010134881580865069,0.00011363266296297381,0.00015048656572525724
1986-04-24,0.00011261128735514216,0.0001105640269116828,0.00010134881580865069,0.00011363266296297381,0.00015048656572525724,0.00018938780005433946
1986-04-25,0.0001105640269116828,0.00010134881580865069,0.00011363266296297381,0.00015048656572525724,0.00018938780005433946,0.0002241943570250144
1986-04-28,0.00010134881580865069,0.00011363266296297381,0.00015048656572525724,0.00018938780005433946,0.0002241943570250144,0.0002518353815336575
1986-04-29,0.00011363266296297381,0.00015048656572525724,0.00018938780005433946,0.0002241943570250144,0.0002518353815336575,0.0002518353815337301
1986-04-30,0.00015048656572525724,0.00018938780005433946,0.0002241943570250144,0.0002518353815336575,0.0002518353815337301,0.0002354545952947349
1986-05-01,0.00018938780005433946,0.0002241943570250144,0.0002518353815336575,0.0002518353815337301,0.0002354545952947349,0.00021497917437130008
