,Open,High,Low,Close,Volume,Dividends,Stock Splits
1999-01-22,0.4013196734878822,0.447901202601574,0.3559324752637108,0.3762369751930237,271468800,0.0,0.0
1999-01-25,0.4060969643683165,0.4204298096615589,0.3762369702457488,0.4156525135040283,51048000,0.0,0.0
1999-01-26,0.4204298831202046,0.4287911028429955,0.3774313397276558,0.3834038972854614,34320000,0.0,0.0
1999-01-27,0.3845982938567222,0.3941538462891095,0.3630985537579672,0.3822096586227417,24436800,0.0,0.0
1999-01-28,0.3822095422660344,0.3845981767728388,0.3786256200162714,0.3810152113437652,22752000,0.0,0.0
1999-01-29,0.381015304464824,0.3822096356789907,0.363098531961441,0.363098531961441,24403200,0.0,0.0
1999-02-01,0.3630984763148305,0.3726540267091707,0.3630984763148305,0.3702653646469116,15470400,0.0,0.0
1999-02-02,0.3630984158799732,0.3726539646838679,0.3308497611296104,0.3415996134281158,26409600,0.0,0.0
1999-02-03,0.3368223853932655,0.3535438952271914,0.3344327937635743,0.3487656414508819,7512000,0.0,0.0
1999-02-04,0.353543833519566,0.3774312709485528,0.348765580577254,0.3678766787052154,18192000,0.0,0.0
1999-02-05,0.3738483642645664,0.382209583773694,0.3642928137034662,0.3786256611347198,13684800,0.0,0.0
1999-02-08,0.3810152299222641,0.3822095609027695,0.365488052368164,0.365488052368164,15408000,0.0,0.0
1999-02-09,0.3726539959134525,0.3750426577783153,0.3463769657849728,0.3511551916599273,8697600,0.0,0.0
1999-02-10,0.3511551783859212,0.360709798146464,0.3415996291424502,0.3475712835788727,14822400,0.0,0.0
1999-02-11,0.3487656104371698,0.3917641496754809,0.3487656104371698,0.3774313032627105,13224000,0.0,0.0
1999-02-12,0.382209517364333,0.4013196583453302,0.382209517364333,0.3989309966564178,10972800,0.0,0.0
1999-02-16,0.4060969487698226,0.4228193846512929,0.3607097802235525,0.4013196527957916,21100800,0.0,0.0
1999-02-17,0.3917641686504398,0.3965424222332798,0.3726540247813947,0.3798209130764007,6772800,0.0,0.0
1999-02-18,0.3917641814062911,0.3965424351447111,0.3750426990426965,0.3857925534248352,7070400,0.0,0.0
1999-02-19,0.382209517364333,0.4060969543854227,0.3774312645036134,0.3989309966564178,7536000,0.0,0.0
1999-02-22,0.4060969487698226,0.4108752015644674,0.3798208504231724,0.4013196527957916,20524800,0.0,0.0
1999-02-23,0.4108751748512644,0.4287909835752586,0.3869867828929945,0.4204297661781311,13809600,0.0,0.0
1999-02-24,0.4825394485012931,0.5016496185581478,0.4431239026269897,0.4538737833499908,61276800,0.0,0.0
1999-02-25,0.472984006714505,0.4873168554028233,0.4323741229629932,0.4395410120487213,14913600,0.0,0.0
1999-02-26,0.4443181635894325,0.4586510075761884,0.4156524756159207,0.4192354679107666,17260800,0.0,0.0
1999-03-01,0.4299854331651125,0.4395409839534982,0.4013197376207717,0.4216242134571075,9216000,0.0,0.0
1999-03-02,0.4204298339938651,0.4228194253627118,0.4108752411258335,0.4180411994457245,5524800,0.0,0.0
1999-03-03,0.4204298346755743,0.4204298346755743,0.3869868459418252,0.3893755078315735,6139200,0.0,0.0
1999-03-04,0.4084865721709314,0.4108752340154697,0.3774312890940022,0.3810152113437652,5736000,0.0,0.0
