,true,pred
1999-01-29,0.0006363831313353,0.0031191981
1999-02-01,0.0005410936375008,0.003018641
1999-02-02,0.0005036590159832,0.0029170145
1999-02-03,0.0005478992838919,0.002826435
1999-02-04,0.0005342876514558,0.0027410425
1999-02-05,0.0005615136335597,0.0026870058
1999-02-08,0.0005581106405372,0.0026657376
1999-02-09,0.0005853339054094,0.0026694648
1999-02-10,0.0006431883531589,0.0026849676
1999-02-11,0.0007452806063259,0.0026984867
1999-02-12,0.0008269556655791,0.0027311733
1999-02-16,0.0009358566220227,0.0027776724
1999-02-17,0.0009971140627948,0.002848437
1999-02-18,0.0010039198790129,0.0029330328
1999-02-19,0.0010583688712485,0.003015235
1999-02-22,0.0012693620808592,0.003082885
1999-02-23,0.0014225034750385,0.0031563551
1999-02-24,0.0014803554602968,0.0032392675
1999-02-25,0.0015382077002955,0.0033381777
1999-02-26,0.0015314021388179,0.0034564142
1999-03-01,0.0013476321091661,0.0035682404
1999-03-02,0.0011808789976372,0.0036131833
1999-03-03,0.0011332358216194,0.0035894974
1999-03-04,0.0010958036625931,0.0035227197
1999-03-05,0.0011060124718337,0.0034232358
1999-03-08,0.0011774784671059,0.0033209207
1999-03-09,0.0012217189048416,0.0032697096
1999-03-10,0.0011842843682375,0.0032689935
1999-03-11,0.0011774762593552,0.0032840287
1999-03-12,0.001095801200102,0.0033072378
1999-03-15,0.0010413522927796,0.0033170758
1999-03-16,0.0010515609321933,0.003296129
1999-03-17,0.0010855924757748,0.003257309
1999-03-18,0.0010379489601032,0.0032276027
1999-03-19,0.0009596795261907,0.0031986507
1999-03-22,0.0008677934499462,0.0031799134
1999-03-23,0.0007759097512793,0.0031561702
1999-03-24,0.0007725069280838,0.0031078341
1999-03-25,0.0008371676166188,0.003038045
1999-03-26,0.0008711966127957,0.0029805982
1999-03-29,0.0009869030458034,0.0029503168
1999-03-30,0.0010549637553889,0.0029606838
1999-03-31,0.0009971118550441,0.0030121221
1999-04-01,0.0008780020893597,0.0030700285
1999-04-05,0.0009460653463499,0.003100759
1999-04-06,0.0009596795261907,0.003116276
1999-04-07,0.0009869053384676,0.0031036027
1999-04-08,0.0010005167161634,0.0030813082
1999-04-09,0.0009971135533139,0.0030798344
1999-04-12,0.000874601304088,0.0031079035
1999-04-13,0.0007588947012532,0.003108466
1999-04-14,0.0006976399777129,0.003083563
1999-04-15,0.0006363827916814,0.003029705
1999-04-16,0.0005989484249043,0.002953581
1999-04-19,0.0006091572341448,0.0028662444
1999-04-20,0.0005478998782863,0.0028032456
1999-04-21,0.0004049672084342,0.0027604448
1999-04-22,0.0002620373407272,0.0027136616
1999-04-23,0.0002348116133636,0.002652571
1999-04-26,0.0001837651895829,0.0025769304
1999-04-27,0.0001769592035379,0.002482884
1999-04-28,0.0002314084505141,0.002396823
1999-04-29,0.0003403090673037,0.0023483383
1999-04-30,0.0002994714527638,0.0023482423
1999-05-03,0.000285859905241,0.0023633451
1999-05-04,0.0002535296034303,0.0023922236
1999-05-05,0.0002126918190632,0.0024170722
1999-05-06,0.0001650456710733,0.0024193479
1999-05-07,0.0002229003735634,0.0023864694
1999-05-10,0.0002909612529757,0.002362444
1999-05-11,0.0003777408866762,0.0023506824
1999-05-12,0.0004049669536936,0.0023638033
1999-05-13,0.0004798361118153,0.00240177
1999-05-14,0.0005512996445963,0.0024653366
