,trend
2010-06-29,1.5166667938232612
2010-06-30,1.4456400966644454
2010-07-01,1.3998667955398787
2010-07-02,1.292000007629392
2010-07-06,1.207066607475301
2010-07-07,1.1462666034698512
2010-07-08,1.1176000118255691
2010-07-09,1.1446666002273738
2010-07-12,1.1985333919525223
2010-07-13,1.230933380126943
2010-07-14,1.2741333961486692
2010-07-15,1.3389333963393963
2010-07-16,1.3677334070205638
2010-07-19,1.3728000164031857
2010-07-20,1.3876000165939104
2010-07-21,1.396266603469836
2010-07-22,1.3834666013717727
2010-07-23,1.3868000030517478
2010-07-26,1.393466591835027
2010-07-27,1.384800004959099
2010-07-28,1.3667999982834014
2010-07-29,1.3664000034332149
2010-07-30,1.3850666046142655
2010-08-02,1.392266607284556
2010-08-03,1.3935997962951736
2010-08-04,1.3889332056045331
2010-08-05,1.3713331937789615
2010-08-06,1.3323999881744006
2010-08-09,1.2875999927520627
2010-08-10,1.249600005149811
2010-08-11,1.2326666116714504
2010-08-12,1.2217332124710336
2010-08-13,1.223333215713511
2010-08-16,1.2349332094192504
2010-08-17,1.2507999897003428
2010-08-18,1.261199975013743
2010-08-19,1.2791999816894783
2010-08-20,1.2798665761947707
2010-08-23,1.2949333667755305
2010-08-24,1.307733368873619
2010-08-25,1.31573338508609
2010-08-26,1.312266778945928
2010-08-27,1.3160001754760666
2010-08-30,1.3233333826064888
2010-08-31,1.3407999992370783
2010-09-01,1.358799982070923
2010-09-02,1.3677331924438427
2010-09-03,1.3866663932800445
2010-09-07,1.390133190155047
2010-09-08,1.3782665729522756
2010-09-09,1.373866581916837
2010-09-10,1.3815999746322682
2010-09-13,1.3959999799728622
2010-09-14,1.399066591262825
2010-09-15,1.399866604805008
2010-09-16,1.4044000148773346
2010-09-17,1.3997334241867219
2010-09-20,1.3716002225875854
2010-09-21,1.353200221061699
2010-09-22,1.3514668226242041
2010-09-23,1.3444002151489485
2010-09-24,1.3528002023696875
2010-09-27,1.3809334039688161
2010-09-28,1.3922667980194319
2010-09-29,1.3989333868026885
2010-09-30,1.405066585540774
2010-10-01,1.401333189010653
2010-10-04,1.3810665845871022
2010-10-05,1.3813331842422587
2010-10-06,1.3790665864944383
2010-10-07,1.3690665960312118
2010-10-08,1.3573332071304676
2010-10-11,1.3583998203277943
2010-10-12,1.3626664161682256
2010-10-13,1.3641330242157033
2010-10-14,1.3639998197555492
2010-10-15,1.3614665985107548
2010-10-18,1.362933397293096
2010-10-19,1.3629333972930757
2010-10-20,1.365333390235896
2010-10-21,1.3735999822616831
2010-10-22,1.3910665988921993
2010-10-25,1.3957331895828324
2010-10-26,1.40160000324248
2010-10-27,1.4165333986282576
2010-10-28,1.4240000009536669
2010-10-29,1.4225333929061992
2010-11-01,1.4328000068664677
2010-11-02,1.4822665929794463
2010-11-03,1.5169332027435303
2010-11-04,1.5645332098007152
2010-11-05,1.6095998048782247
2010-11-08,1.7107997894287186
2010-11-09,1.752666401863093
