,trend(t-5),trend(t-4),trend(t-3),trend(t-2),trend(t-1),trend(t)
2010-07-07,1.5166667938232612,1.4456400966644454,1.3998667955398787,1.292000007629392,1.207066607475301,1.1462666034698512
2010-07-08,1.4456400966644454,1.3998667955398787,1.292000007629392,1.207066607475301,1.1462666034698512,1.1176000118255691
2010-07-09,1.3998667955398787,1.292000007629392,1.207066607475301,1.1462666034698512,1.1176000118255691,1.1446666002273738
2010-07-12,1.292000007629392,1.207066607475301,1.1462666034698512,1.1176000118255691,1.1446666002273738,1.1985333919525225
2010-07-13,1.207066607475301,1.1462666034698512,1.1176000118255691,1.1446666002273738,1.1985333919525225,1.230933380126943
2010-07-14,1.1462666034698512,1.1176000118255691,1.1446666002273738,1.1985333919525225,1.230933380126943,1.2741333961486692
2010-07-15,1.1176000118255691,1.1446666002273738,1.1985333919525225,1.230933380126943,1.2741333961486692,1.3389333963393963
2010-07-16,1.1446666002273738,1.1985333919525225,1.230933380126943,1.2741333961486692,1.3389333963393963,1.3677334070205638
2010-07-19,1.1985333919525225,1.230933380126943,1.2741333961486692,1.3389333963393963,1.3677334070205638,1.3728000164031855
2010-07-20,1.230933380126943,1.2741333961486692,1.3389333963393963,1.3677334070205638,1.3728000164031855,1.3876000165939104
2010-07-21,1.2741333961486692,1.3389333963393963,1.3677334070205638,1.3728000164031855,1.3876000165939104,1.396266603469836
2010-07-22,1.3389333963393963,1.3677334070205638,1.3728000164031855,1.3876000165939104,1.396266603469836,1.383466601371773
2010-07-23,1.3677334070205638,1.3728000164031855,1.3876000165939104,1.396266603469836,1.383466601371773,1.3868000030517478
2010-07-26,1.3728000164031855,1.3876000165939104,1.396266603469836,1.383466601371773,1.3868000030517478,1.393466591835027
2010-07-27,1.3876000165939104,1.396266603469836,1.383466601371773,1.3868000030517478,1.393466591835027,1.384800004959099
2010-07-28,1.396266603469836,1.383466601371773,1.3868000030517478,1.393466591835027,1.384800004959099,1.3667999982834014
2010-07-29,1.383466601371773,1.3868000030517478,1.393466591835027,1.384800004959099,1.3667999982834014,1.3664000034332149
2010-07-30,1.3868000030517478,1.393466591835027,1.384800004959099,1.3667999982834014,1.3664000034332149,1.3850666046142657
2010-08-02,1.393466591835027,1.384800004959099,1.3667999982834014,1.3664000034332149,1.3850666046142657,1.392266607284556
2010-08-03,1.384800004959099,1.3667999982834014,1.3664000034332149,1.3850666046142657,1.392266607284556,1.3935997962951736
2010-08-04,1.3667999982834014,1.3664000034332149,1.3850666046142657,1.392266607284556,1.3935997962951736,1.3889332056045331
2010-08-05,1.3664000034332149,1.3850666046142657,1.392266607284556,1.3935997962951736,1.3889332056045331,1.3713331937789617
2010-08-06,1.3850666046142657,1.392266607284556,1.3935997962951736,1.3889332056045331,1.3713331937789617,1.3323999881744006
2010-08-09,1.392266607284556,1.3935997962951736,1.3889332056045331,1.3713331937789617,1.3323999881744006,1.2875999927520627
2010-08-10,1.3935997962951736,1.3889332056045331,1.3713331937789617,1.3323999881744006,1.2875999927520627,1.249600005149811
2010-08-11,1.3889332056045331,1.3713331937789617,1.3323999881744006,1.2875999927520627,1.249600005149811,1.2326666116714504
2010-08-12,1.3713331937789617,1.3323999881744006,1.2875999927520627,1.249600005149811,1.2326666116714504,1.2217332124710336
2010-08-13,1.3323999881744006,1.2875999927520627,1.249600005149811,1.2326666116714504,1.2217332124710336,1.223333215713511
