,true,pred
2010-07-07,9.993196993950126e-05,0.0012273984
2010-07-08,0.0,0.0010426883
2010-07-09,9.435434571704662e-05,0.0009838305
2010-07-12,0.0002821344166167,0.0011279192
2010-07-13,0.0003950810370054,0.0013657073
2010-07-14,0.0005456766416744,0.0014844332
2010-07-15,0.0007715699655649,0.0016203411
2010-07-16,0.0008719670353443,0.0018590149
2010-07-19,0.0008896292765623,0.0019562878
2010-07-20,0.0009412221967293,0.0019360008
2010-07-21,0.0009714339885569,0.0019721435
2010-07-22,0.0009268130778898,0.002007315
2010-07-23,0.0009384333430617,0.0019499492
2010-07-26,0.0009616731253893,0.0019538496
2010-07-27,0.0009314613335618,0.0019894047
2010-07-28,0.0008687131649498,0.001956217
2010-07-29,0.0008673187796723,0.0018775603
2010-07-30,0.0009323907021123,0.0018780241
2010-08-02,0.0009574899695572,0.0019653775
2010-08-03,0.000962137477213,0.001998919
2010-08-04,0.0009458697043851,0.0019917972
2010-08-05,0.0008845159210504,0.0019665044
2010-08-06,0.0007487944519479,0.0018956279
2010-08-09,0.0005926213061695,0.0017417129
2010-08-10,0.0004601530425582,0.0015696324
2010-08-11,0.0004011230961645,0.0014386363
2010-08-12,0.0003630091782704,0.0013977364
2010-08-13,0.0003685868024929,0.0013788436
2010-08-16,0.0004090244742149,0.0013955198
2010-08-17,0.0004643361983906,0.0014480511
2010-08-18,0.0005005906311675,0.0015119035
2010-08-19,0.0005633387997796,0.0015472025
2010-08-20,0.0005656625536075,0.0016086418
2010-08-23,0.0006181855072284,0.0016065529
2010-08-24,0.0006628064178955,0.0016545225
2010-08-25,0.0006906945390081,0.0017060852
2010-08-26,0.0006786099220125,0.0017314218
2010-08-27,0.0006916245724618,0.0017088726
2010-08-30,0.0007171881917302,0.0017174305
2010-08-31,0.0007780769583381,0.0017494643
2010-09-01,0.0008408250438372,0.0018185638
2010-09-02,0.0008719662873281,0.0018874016
2010-09-03,0.0009379675783187,0.00191384
2010-09-07,0.0009500528602175,0.0019770628
2010-09-08,0.000908685736832,0.001987394
2010-09-09,0.0008933473325548,0.0019287989
2010-09-10,0.0009203060020039,0.0019054301
2010-09-13,0.0009705045368936,0.0019442076
2010-09-14,0.0009811947686117,0.002007233
2010-09-15,0.0009839836222794,0.0020163981
2010-09-16,0.0009997871263964,0.0020093387
2010-09-17,0.0009835193535687,0.002024293
2010-09-20,0.0008854467856334,0.0020068046
2010-09-21,0.0008213042317439,0.001891613
2010-09-22,0.0008152615907945,0.0018163901
2010-09-23,0.0007906273400767,0.0018257843
2010-09-24,0.0008199097633536,0.0018126126
2010-09-27,0.0009179823312889,0.0018458497
2010-09-28,0.0009574906344605,0.0019622752
2010-09-29,0.0009807304167881,0.0020072646
2010-09-30,0.0010021107971114,0.0020155553
2010-10-01,0.0009890961466622,0.0020308243
2010-10-04,0.0009184465999996,0.0020135213
2010-10-05,0.0009193759685501,0.0019285604
2010-10-06,0.0009114745904996,0.0019283555
2010-10-07,0.0008766145430002,0.0019336985
2010-10-08,0.0008357118545513,0.0018956307
2010-10-11,0.0008394300767695,0.0018472616
2010-10-12,0.0008543034643198,0.0018563448
2010-10-13,0.0008594160718154,0.0018822001
2010-10-14,0.0008589517199917,0.001888684
2010-10-15,0.0008501208902779,0.0018845582
2010-10-18,0.0008552341626768,0.0018730918
2010-10-19,0.0008552341626767,0.0018787123
2010-10-20,0.0008636005574541,0.001880765
2010-10-21,0.0008924179640043,0.0018896079
2010-10-22,0.000953306730612,0.001922423
2010-10-25,0.0009695745034398,0.0019916398
2010-10-26,0.0009900262632287,0.0020074286
2010-10-27,0.0010420842001228,0.0020191837
2010-10-28,0.001068112836118,0.0020748712
2010-10-29,0.0010630002286225,0.0021039974
2010-11-01,0.0010987897277854,0.0020892918
2010-11-02,0.0012712306463917,0.0021234835
2010-11-03,0.0013920787279438,0.0023226384
2010-11-04,0.00155801273689,0.0024626544
2010-11-05,0.0017151152512191,0.0026234593
2010-11-08,0.0020678992144983,0.002782397
2010-11-09,0.0022138465634953,0.0031599188
2010-11-10,0.0024648391548306,0.003310617
2010-11-11,0.0027353533893885,0.0035350006
2010-11-12,0.0029696131911692,0.0038189897
2010-11-15,0.0029756558321185,0.0040542623
2010-11-16,0.0030616444479616,0.004015875
2010-11-17,0.0031150967701329,0.004066026
2010-11-18,0.0032359454334754,0.004127931
2010-11-19,0.0034636981593702,0.0042569246
2010-11-22,0.0037416494201548,0.0045092516
2010-11-23,0.0039940363967676,0.004814104
2010-11-24,0.0041492801739957,0.005068915
2010-11-26,0.0042389864302665,0.0052000824
2010-11-29,0.0042287605503719,0.005257409
2010-11-30,0.0040837426530383,0.005218137
2010-12-01,0.0039057234453063,0.005035678
2010-12-02,0.0037188734909734,0.0048282305
2010-12-03,0.0035436437186993,0.004636703
2010-12-06,0.0034516131268103,0.0044666296
2010-12-07,0.0034376691078105,0.0043916786
2010-12-08,0.0034390634099749,0.004407025
2010-12-09,0.0034502186584199,0.004427219
2010-12-10,0.0033093838338056,0.0044418667
2010-12-13,0.0031806337092998,0.004280107
2010-12-14,0.0031229980650705,0.0041241916
2010-12-15,0.0031155617868598,0.004078688
2010-12-16,0.003169013361015,0.0040969336
2010-12-17,0.003342384396188,0.0041696513
2010-12-20,0.0034832191376893,0.0043702275
2010-12-21,0.0034497535585801,0.0045278594
2010-12-22,0.003179703675846,0.0044616265
2010-12-23,0.0029338243569095,0.0041209226
2010-12-27,0.0027232695204092,0.0038332613
2010-12-28,0.0024383469150279,0.003637109
2010-12-29,0.0022775255135774,0.0033576312
2010-12-30,0.0023272596966434,0.0032029785
2010-12-31,0.0023393443136389,0.0033074468
2011-01-03,0.0022975121735265,0.0033591865
2011-01-04,0.002361654727416,0.003301886
2011-01-05,0.002436488094814,0.003365254
2011-01-06,0.0025215466772031,0.003462201
2011-01-07,0.0025350256794761,0.0035522524
